Brand,Model_Name,Model_URL,Model_Image,Network_Technology,5G_Support,Announced,Status,Dimensions,Weight_g,Back_Material,IP_Rating,SIM_Type,Display_Type,Refresh_Rate_Hz,Display_Size_inch,Resolution,PPI_Density,Screen_to_Body_Pct,Display_Protection,OS,Chipset,Process_Node_nm,CPU,GPU,RAM_GB,RAM_Max_GB,Storage_GB,Storage_Max_GB,Storage_Type,Main_Camera_MP,Lens_Count,Main_Aperture,OIS,Sensor_Size,Camera_4K_Video,Camera_Features,Camera_Video,Selfie_Camera_MP,Selfie_4K_Video,Selfie_Camera_Features,Selfie_Camera_Video,WiFi,NFC,Bluetooth_Version,USB_Type,Headphone_Jack,GPS,Sensors,Battery_mAh,Wired_Charging_W,Wireless_Charging_W,Reverse_Wireless_Charging,Battery_ActiveUse,Price_USD,Price_EUR,Price_GBP,Price_INR,AnTuTu_Score,GeekBench_Score,ThreeDMark_Score,Display_nits_tested,Loudspeaker_LUFS,Colors,Model_Numbers,SAR_US,SAR_EU,FM_Radio
Bird,Bird M32,https://www.gsmarena.com/bird_m32-1966.php,https://fdn2.gsmarena.com/vv/bigpic/bird-m32.gif,GSM,No,2007,Cancelled,94 x 46 x 16.5 mm (3.70 x 1.81 x 0.65 in),84.0,,,Mini-SIM,"CSTN, 65K colors",,1.8,128x160,114,23.6,,,,,,,,,,,,,1,,No,,No,,No,,No,,,No,,,Proprietary,No,No,,600,,,No,,,,,,,,,,,Light Blue,,,,FM radio (optional)
Bird,Bird D636,https://www.gsmarena.com/bird_d636-1965.php,https://fdn2.gsmarena.com/vv/bigpic/bird-d636.gif,GSM,No,2007,Cancelled,105 x 45.6 x 12.2 mm (4.13 x 1.80 x 0.48 in),98.4,,,Mini-SIM,"TFT, 260K colors",,1.9,176x220,148,23.7,,,,,,,,,,,,1.3,1,,No,,No,,Yes,,No,,,No,,,Proprietary,No,No,,600,,,No,,,,,,,,,,,Black,,,,No
Bird,Bird D706,https://www.gsmarena.com/bird_d706-1964.php,https://fdn2.gsmarena.com/vv/bigpic/bird-d706.gif,GSM,No,2007,Cancelled,105 x 45.6 x 12.2 mm (4.13 x 1.80 x 0.48 in),84.0,,,Mini-SIM,"TFT, 260K colors",,1.9,176x220,148,23.7,,,,,,,,,,,,1.3,1,,No,,No,,Yes,,No,,,No,,,Proprietary,No,No,,600,,,No,,,,,,,,,,,Golden Black,,,,No
Bird,Bird D615,https://www.gsmarena.com/bird_d615-1963.php,https://fdn2.gsmarena.com/vv/bigpic/bird-d615.gif,GSM,No,2007,Discontinued,105 x 45.6 x 12.2 mm (4.13 x 1.80 x 0.48 in),82.0,,,Mini-SIM,"TFT, 65K colors",,1.8,128x160,114,21.3,,,,,,,,,,,,1.3,1,,No,,No,,Yes,,No,,,No,,,Proprietary,No,No,,650,,,No,,,,,,,,,,,"Soft-touch Grey, Shining Blue",,,,FM radio
Bird,Bird S768,https://www.gsmarena.com/bird_s768-1962.php,https://fdn2.gsmarena.com/vv/bigpic/bird-s768.gif,GSM,No,2007,Cancelled,105 x 46 x 10 mm (4.13 x 1.81 x 0.39 in),75.0,,,Mini-SIM,"CSTN, 65K colors",,1.8,128x160,114,21.1,,,,,,,,,,,,,,,No,,No,,,,No,,,No,,,Proprietary,No,No,,700,,,No,,,,,,,,,,,"Pink, Blue",,,,FM radio
Bird,Bird S758,https://www.gsmarena.com/bird_s758-1961.php,https://fdn2.gsmarena.com/vv/bigpic/bird-s758.gif,GSM,No,2007,Cancelled,105 x 46 x 10 mm (4.13 x 1.81 x 0.39 in),73.0,,,Mini-SIM,"CSTN, 65K colors",,1.8,128x160,114,21.1,,,,,,,,,,,,,,,No,,No,,,,No,,,No,,,No,No,No,,700,,,No,,,,,,,,,,,"Pink, Black",,,,FM radio (optional)
Bird,Bird S618,https://www.gsmarena.com/bird_s618-1960.php,https://fdn2.gsmarena.com/vv/bigpic/bird-s618.gif,GSM,No,2007,Cancelled,103 x 46 x 11 mm (4.06 x 1.81 x 0.43 in),73.0,,,Mini-SIM,Monochrome graphic,,1.7,128x160,121,19.2,,,,,,,,,,,,,,,No,,No,,,,No,,,No,,,No,No,No,,700,,,No,,,,,,,,,,,Black,,,,FM radio (optional)
Bird,Bird D736,https://www.gsmarena.com/bird_d736-1959.php,https://fdn2.gsmarena.com/vv/bigpic/bird-d736.gif,GSM,No,2007,Discontinued,95 x 47 x 18.2 mm (3.74 x 1.85 x 0.72 in),96.0,,,Mini-SIM,"TFT, 260K colors",,1.9,176x220,148,25.4,,,,,,,,,,,,2.0,1,,No,,No,,Yes,,No,,,No,,,Proprietary,No,No,,600,,,No,,,,,,,,,,,"UV Black, Soft-touch Black",,,,FM radio
Bird,Bird D716,https://www.gsmarena.com/bird_d716-1955.php,https://fdn2.gsmarena.com/vv/bigpic/bird-d716.gif,GSM,No,2007,Discontinued,105.8 x 46 x 12.8 mm (4.17 x 1.81 x 0.50 in),81.0,,,Mini-SIM,"TFT, 260K colors",,1.9,176x220,148,23.3,,,,,,,,,,,,2.0,1,,No,,No,,Yes,,No,,,No,,,Proprietary,No,No,,600,,,No,,,,,,,,,,,Mirror Silver,,,,No
Bird,Bird D720,https://www.gsmarena.com/bird_d720-1952.php,https://fdn2.gsmarena.com/vv/bigpic/bird-d720.gif,GSM,No,2007,Discontinued,100 x 46 x 15.9 mm (3.94 x 1.81 x 0.63 in),93.0,,,Mini-SIM,"TFT, 260K colors",,1.9,176x220,148,24.7,,,,,,,,,,,,2.0,1,,No,,No,,Yes,,No,,,No,,,Proprietary,No,No,,700,,,No,,,,,,,,,,,"Silver, Green, Blue",,,,FM radio
